hpName,mpName,hpId,mpId
Increased hematocrit (HPO),increased hematocrit (MPO),HP:0001899,MP:0002608
Abnormal lymphocyte morphology (HPO),abnormal lymphocyte morphology (MPO),HP:0004332,MP:0002619
Abnormal tricuspid valve morphology (HPO),abnormal tricuspid valve morphology (MPO),HP:0001702,MP:0002624
Dysplastic tricuspid valve (HPO),abnormal tricuspid valve morphology (MPO),HP:0030732,MP:0002624
Left ventricular hypertrophy (HPO),heart left ventricle hypertrophy (MPO),HP:0001712,MP:0002625
Tachycardia (HPO),increased heart rate (MPO),HP:0001649,MP:0002626
Hepatic steatosis (HPO),hepatic steatosis (MPO),HP:0001397,MP:0002628
Truncus arteriosus (HPO),persistent truncus arteriosis (MPO),HP:0001660,MP:0002633
Hypoplasia of the uterus (HPO),small uterus (MPO),HP:0000013,MP:0002637
Micrognathia (HPO),micrognathia (MPO),HP:0000347,MP:0002639
Anisocytosis (HPO),anisocytosis (MPO),HP:0011273,MP:0002642
Absent scrotum (HPO),absent scrotum (MPO),HP:0008707,MP:0002670
Abnormal sperm motility (HPO),abnormal sperm motility (MPO),HP:0012206,MP:0002674
Reduced sperm motility (HPO),asthenozoospermia (MPO),HP:0012207,MP:0002675
Globozoospermia (HPO),globozoospermia (MPO),HP:0012205,MP:0002686
Oligospermia (HPO),oligozoospermia (MPO),HP:0000798,MP:0002687
Akinesia (HPO),akinesia (MPO),HP:0002304,MP:0002690
Abnormal glucagon level (HPO),abnormal circulating glucagon level (MPO),HP:0030687,MP:0002695
Decreased circulating free fatty acid level (HPO),decreased circulating free fatty acid level (MPO),HP:0040299,MP:0002702
Nephrolithiasis (HPO),nephrolithiasis (MPO),HP:0000787,MP:0002708
Absent tibia (HPO),absent tibia (MPO),HP:0009556,MP:0002728
Aganglionic megacolon (HPO),megacolon (MPO),HP:0002251,MP:0002731
Trichoepithelioma (HPO),increased trichoepithelioma incidence (MPO),HP:0025367,MP:0002732
Glomerulonephritis (HPO),glomerulonephritis (MPO),HP:0000099,MP:0002743
Abnormal aortic valve morphology (HPO),abnormal aortic valve morphology (MPO),HP:0001646,MP:0002747
Abnormal pulmonary valve morphology (HPO),abnormal pulmonary valve morphology (MPO),HP:0001641,MP:0002748
Dysplastic pulmonary valve (HPO),abnormal pulmonary valve morphology (MPO),HP:0005164,MP:0002748
Proptosis (HPO),exophthalmos (MPO),HP:0000520,MP:0002750
Right ventricular dilatation (HPO),dilated heart right ventricle (MPO),HP:0005133,MP:0002754
Short tibia (HPO),short tibia (MPO),HP:0005736,MP:0002764
Fibular hypoplasia (HPO),short fibula (MPO),HP:0003038,MP:0002765
Abdominal situs inversus (HPO),situs inversus (MPO),HP:0003363,MP:0002766
Adrenal hypoplasia (HPO),small adrenal glands (MPO),HP:0000835,MP:0002768
Abnormal vas deferens morphology (HPO),abnormal vas deferens morphology (MPO),HP:0012872,MP:0002769
Decreased circulating follicle stimulating hormone level (HPO),decreased circulating follicle stimulating hormone level (MPO),HP:0030341,MP:0002790
Steatorrhea (HPO),steatorrhea (MPO),HP:0002570,MP:0002791
Lenticonus (HPO),lenticonus (MPO),HP:0001142,MP:0002794
Dilated cardiomyopathy (HPO),dilated cardiomyopathy (MPO),HP:0001644,MP:0002795
Microcytic anemia (HPO),microcytic anemia (MPO),HP:0001935,MP:0002810
Macrocytic anemia (HPO),macrocytic anemia (MPO),HP:0001972,MP:0002811
Decreased mean corpuscular volume (HPO),microcytosis (MPO),HP:0025066,MP:0002813
Colitis (HPO),colitis (MPO),HP:0002583,MP:0002816
Abnormal renal corpuscle morphology (HPO),abnormal renal corpuscle morphology (MPO),HP:0031263,MP:0002827
Abnormal morphology of Bowman capsule (HPO),abnormal renal glomerular capsule morphology (MPO),HP:0031264,MP:0002828
Cholelithiasis (HPO),gallstones (MPO),HP:0001081,MP:0002830
Hypotension (HPO),decreased systemic arterial blood pressure (MPO),HP:0002615,MP:0002843
Abnormal glomerular filtration rate (HPO),abnormal renal glomerular filtration rate (MPO),HP:0012212,MP:0002847
Albuminuria (HPO),albuminuria (MPO),HP:0012592,MP:0002871
Decreased red blood cell count (HPO),decreased erythrocyte cell number (MPO),HP:0020060,MP:0002875
Opisthotonus (HPO),opisthotonus (MPO),HP:0002179,MP:0002880
Ketonuria (HPO),ketoaciduria (MPO),HP:0002919,MP:0002893
Fatigue (HPO),fatigue (MPO),HP:0012378,MP:0002899
Hyperphosphaturia (HPO),increased urine phosphate level (MPO),HP:0003109,MP:0002901
Hypophosphaturia (HPO),decreased urine phosphate level (MPO),HP:0012365,MP:0002902
Decreased circulating parathyroid hormone level (HPO),decreased circulating parathyroid hormone level (MPO),HP:0031817,MP:0002905
Abnormal peripheral nervous system synaptic transmission (HPO),abnormal PNS synaptic transmission (MPO),HP:0030191,MP:0002913
Aganglionic megacolon (HPO),aganglionic megacolon (MPO),HP:0002251,MP:0002926
Abnormal joint morphology (HPO),abnormal joint morphology (MPO),HP:0001367,MP:0002932
Synovitis (HPO),joint inflammation (MPO),HP:0100769,MP:0002933
Microalbuminuria (HPO),increased urine microalbumin level (MPO),HP:0012594,MP:0002959
Hyperalbuminemia (HPO),increased circulating serum albumin level (MPO),HP:0012117,MP:0002965
Ovotestis (HPO),ovotestis (MPO),HP:0012861,MP:0002996
Alkalosis (HPO),alkalosis (MPO),HP:0001948,MP:0003028
Alkalemia (HPO),alkalemia (MPO),HP:0032369,MP:0003029
Acidemia (HPO),acidemia (MPO),HP:0032368,MP:0003030
Hypocapnia (HPO),hypocapnia (MPO),HP:0012417,MP:0003032
Increased pulmonary vascular resistance (HPO),increased pulmonary vascular resistance (MPO),HP:0005317,MP:0003034
Cirrhosis (HPO),liver cirrhosis (MPO),HP:0001394,MP:0003046
Omphalocele (HPO),omphalocele (MPO),HP:0001539,MP:0003052
Delayed eruption of teeth (HPO),delayed tooth eruption (MPO),HP:0000684,MP:0003053
Spina bifida (HPO),spina bifida (MPO),HP:0002414,MP:0003054
Spinal dysraphism (HPO),spina bifida (MPO),HP:0010301,MP:0003054
Abnormal muscle fiber morphology (HPO),abnormal skeletal muscle fiber morphology (MPO),HP:0004303,MP:0003084
Hydromyelia (HPO),hydromyelia (MPO),HP:0100565,MP:0003086
Retinal detachment (HPO),retinal detachment (MPO),HP:0000541,MP:0003099
Myopia (HPO),myopia (MPO),HP:0000545,MP:0003100
High myopia (HPO),high myopia (MPO),HP:0011003,MP:0003101
Acrania (HPO),acrania (MPO),HP:0030716,MP:0003104
Rickets (HPO),rickets (MPO),HP:0002748,MP:0003116
Hypospadias (HPO),hypospadia (MPO),HP:0000047,MP:0003124
Persistent cloaca (HPO),persistent cloaca (MPO),HP:0012621,MP:0003129
Anotia (HPO),anotia (MPO),HP:0009892,MP:0003142
Abnormal soft palate morphology (HPO),abnormal soft palate morphology (MPO),HP:0100736,MP:0003154
Dysphagia (HPO),dysphagia (MPO),HP:0002015,MP:0003158
Allodynia (HPO),allodynia (MPO),HP:0012533,MP:0003177
Calcinosis (HPO),calcinosis (MPO),HP:0003761,MP:0003195
Nephrocalcinosis (HPO),nephrocalcinosis (MPO),HP:0000121,MP:0003197
Neurofibrillary tangles (HPO),neurofibrillary tangles (MPO),HP:0002185,MP:0003214
Tubulointerstitial fibrosis (HPO),renal interstitial fibrosis (MPO),HP:0005576,MP:0003215
Absence seizure (HPO),absence seizures (MPO),HP:0002121,MP:0003216
Prolonged QT interval (HPO),prolonged QT interval (MPO),HP:0001657,MP:0003233
